id,agency,2020,2021,2022,2023,2024
5,Finance,4.175833,3.744979,4.159134,4.645472,5.333063
19,Library,19.163603,18.849564,19.066904,19.770825,20.748477
20,Fire,57.020341,61.180396,63.742785,68.098376,70.292692
21,Police,81.830699,82.794221,83.995148,86.917117,91.033353
23,Public Health,6.233474,6.937629,7.48907,9.656299,10.193472
25,Parks,14.736923,15.585153,15.535002,16.007257,16.616412
27,Metro Transit,8.552649,8.511315,9.126564,2.009664,15.725
