name,publisher,release_date,avg_playtime,price,positive_reviews,negative_reviews
Grand Theft Auto,Rockstar Games,01/04/2008,74,$0,332,64
Grand Theft Auto 2,Rockstar Games,01/04/2008,41,$0,363,29
Max Payne 2: The Fall of Max Payne,Rockstar Games,01/04/2008,350,$14.99,8.52K,478
AudioSurf,,02/15/2008,140,$9.99,10.28K,446
Overlord: Raising Hell,Codemasters,02/28/2008,163,$9.99,1.89K,140
"Warhammer 40,000: Dawn of War - Soulstorm",SEGA,03/05/2008,603,$12.99,14.48K,674
RollerCoaster Tycoon 3: Platinum,Frontier,03/12/2008,329,$0,4.62K,430
Unreal Tournament 2004: Editor's Choice Edition,"Epic Games, Inc.",03/17/2008,116,$0,3.7K,135
Unreal Tournament: Game of the Year Edition,"Epic Games, Inc.",03/17/2008,145,$0,3.83K,146
Unreal Gold,"Epic Games, Inc.",03/17/2008,37,$0,2.08K,264
Far Cry,Ubisoft,04/01/2008,350,$9.99,6.87K,1.48K
Tom Clancy's Splinter Cell,Ubisoft,04/01/2008,192,$9.99,2.35K,340
Assassin's Creed: Director's Cut Edition,Ubisoft,04/09/2008,247,$19.99,14.56K,2.89K
TrackMania Nations Forever,Ubisoft,04/16/2008,186,$0,19.64K,2.28K
Tom Clancy's Rainbow Six Vegas 2,Ubisoft,04/16/2008,206,$9.99,4.37K,791
Heroes of Might & Magic V,Ubisoft,05/13/2008,2358,$9.99,2.95K,405
Empires Mod,Empires,07/28/2008,1,$0,855,136
Oddworld: Abe's Oddysee,Oddworld Inhabitants,08/28/2008,210,$2.99,3.55K,597
X-COM: UFO Defense,2K,09/04/2008,84,$4.99,3.32K,183
X-COM: Apocalypse,2K,09/04/2008,12,$4.99,736,92
S.T.A.L.K.E.R.: Clear Sky,GSC World Publishing,09/15/2008,406,$9.99,15.62K,2.63K
Crysis Warhead,Electronic Arts,09/17/2008,179,$19.99,3.03K,519
Crysis,Electronic Arts,09/17/2008,180,$29.99,10.3K,2.62K
The Witcher: Enhanced Edition Director's Cut,CD PROJEKT RED,09/19/2008,304,$9.99,67.27K,8.53K
Sid Meier's Civilization IV: Colonization,2K,09/23/2008,23,$19.99,1.01K,157
LEGO Batman: The Videogame,Warner Bros. Interactive Entertainment,09/29/2008,87,$19.99,8.28K,1.05K
Zombie Panic! Source,Zombie Panic! Team,10/03/2008,22,$0,6.38K,1.16K
World of Goo,2D BOY ,10/13/2008,146,$14.99,5.24K,313
X3: Terran Conflict,Egosoft,10/16/2008,172,$15.99,2.28K,386
