name,publisher,release_date,avg_playtime,price,positive_reviews,negative_reviews
Binary Domain,SEGA,04/27/2012,73,$14.99,6.11K,1.05K
Warlock - Master of the Arcane,Paradox Interactive,05/08/2012,270,$24.99,2.16K,342
Alan Wake's American Nightmare,Remedy Entertainment,05/22/2012,74,$8.99,5.48K,2.19K
Thief Gold,Eidos Interactive Corp.,05/22/2012,171,$6.99,3.16K,265
Ticket to Ride: Classic Edition,Days of Wonder,05/24/2012,296,$0,4.49K,484
Iron Front: Digital War Edition,Deep Silver,05/25/2012,612,$14.99,500,338
Stronghold 3 Gold,FireFly Studios,05/25/2012,560,$29.99,1.43K,3.01K
Max Payne 3,Rockstar Games,05/31/2012,701,$19.99,41.96K,6.86K
The Lord of the Rings Online,"Standing Stone Games, LLC",06/06/2012,207,$0,15.01K,3.41K
Sins of a Solar Empire: Rebellion,Stardock Entertainment,06/12/2012,406,$39.99,14.23K,1.03K
Tiny and Big: Grandpa's Leftovers,Black Pants Studio,06/19/2012,171,$11.99,3.73K,341
Vindictus,NEXON Korea Corp. & NEXON America Inc.,06/22/2012,214,$0,5.19K,2.43K
Spec Ops: The Line,2K,06/25/2012,206,$29.99,48.34K,3.53K
Dungeons & Dragons Online,"Standing Stone Games, LLC",06/25/2012,162,$0,4.57K,1.88K
Tribes: Ascend,Hi-Rez Studios,06/27/2012,15,$0,6.93K,1.66K
Blacklight: Retribution,"Hardsuit Labs, Inc.",07/02/2012,81,$0,12.45K,3.96K
ENDLESS Space - Definitive Edition,SEGA,07/04/2012,211,$9.99,7.38K,1.79K
Divine Divinity,Larian Studios,07/05/2012,161,$5.99,2.79K,383
Source Filmmaker,Valve,07/10/2012,59,$0,33K,2.41K
Hard Reset Extended Edition,Good Shepherd Entertainment,07/12/2012,39,$14.99,3.81K,832
Prototype 2,Activision,07/24/2012,238,$39.99,10.57K,3.4K
Orcs Must Die! 2,Robot Entertainment,07/30/2012,324,$14.99,17.42K,1.21K
Awesomenauts - the 2D moba,Ronimo Games,08/01/2012,358,$0,22.57K,4.07K
Deponia,Daedalic Entertainment,08/06/2012,399,$9.99,9.95K,1.45K
MapleStory,Nexon America Inc.,08/09/2012,118,$0,7.84K,4.63K
Counter-Strike: Global Offensive,Valve,08/21/2012,25869,$0,6.84M,961.68K
STAR WARS Knights of the Old Republic II - The Sith Lords,LucasArts,08/23/2012,427,$9.99,20.89K,1.43K
DARK SOULS: Prepare To Die Edition,Bandai Namco Entertainment,08/24/2012,388,$0,70.69K,6.62K
Super Crate Box,Vlambeer,08/29/2012,22,$0,5.79K,735
Gotham City Impostors Free to Play,Warner Bros. Interactive Entertainment,08/30/2012,62,$0,10.14K,1.78K
Batman: Arkham City - Game of the Year Edition,WB Games,09/07/2012,432,$19.99,54.82K,2.29K
To the Moon,Freebird Games,09/07/2012,233,$9.99,68.76K,2.57K
Continent of the Ninth Seal,VALOFE,09/13/2012,144,$0,986,390
FTL: Faster Than Light,Subset Games,09/14/2012,618,$9.99,66.73K,3.04K
Borderlands 2,2K,09/17/2012,2665,$19.99,261.8K,17.19K
Jet Set Radio,SEGA,09/19/2012,37,$7.99,6.53K,899
Dream Pinball 3D,Topware Interactive ACE,09/19/2012,299,$6.99,339,526
Torchlight II,Gearbox Publishing,09/20/2012,1369,$19.99,39.77K,3.04K
The Testament of Sherlock Holmes,Frogwares,09/25/2012,434,$19.99,2.55K,688
McPixel,Sos Sosowski,09/25/2012,165,$4.99,3.26K,607
Castle Crashers,The Behemoth,09/26/2012,300,$14.99,101.82K,3.99K
Cortex Command,"Data Realms, LLC",09/28/2012,211,$19.99,4.24K,1.67K
Hell Yeah! Wrath of the Dead Rabbit,SEGA,10/03/2012,53,$14.99,3.08K,517
Dishonored,Bethesda Softworks,10/08/2012,617,$9.99,74.7K,1.82K
XCOM: Enemy Unknown,2K,10/08/2012,797,$29.99,49.84K,2.98K
Worms Revolution,Team17 Digital Ltd,10/10/2012,224,$14.99,7.2K,1.06K
Euro Truck Simulator 2,SCS Software,10/12/2012,5072,$19.99,703.63K,18.57K
DOOM 3,Bethesda Softworks,10/15/2012,94,$9.99,8.49K,1.35K
Chivalry: Medieval Warfare,Torn Banner Studios,10/16/2012,238,$24.99,54.43K,11.55K
Viking: Battle for Asgard,SEGA,10/17/2012,44,$14.99,1.09K,1.14K
Dwarfs - F2P,Tripwire Interactive,10/18/2012,71,$0,1.42K,251
Hotline Miami,Devolver Digital,10/23/2012,329,$9.99,87.6K,2.44K
Deadlight,Xbox Game Studios,10/25/2012,173,$14.99,9.81K,2.62K
Lucius,Shiver Games,10/26/2012,159,$9.99,8.12K,1.89K
Guns of Icarus Online,Muse Games,10/29/2012,209,$4.99,13.18K,1.46K
Divinity II: Developer's Cut,Larian Studios,10/29/2012,893,$19.99,3.69K,686
Natural Selection 2,Unknown Worlds Entertainment,10/30/2012,138,$4.99,10.97K,1.88K
Defender's Quest: Valley of the Forgotten (DX edition),Level Up Labs,10/30/2012,1734,$14.99,3.2K,149
Pid,Might and Delight,10/31/2012,43,$19.99,2.01K,397
POSTAL 2,Running With Scissors,11/02/2012,173,$9.99,90.77K,3.26K
Chaos on Deponia,Daedalic Entertainment,11/06/2012,417,$19.99,2.31K,236
Call of Duty: Black Ops II,Activision,11/12/2012,131,$59.99,37.57K,6.02K
Thomas Was Alone,Bithell Games,11/12/2012,57,$9.99,8.44K,551
Jagged Alliance 2 - Wildfire,Topware Interactive,11/16/2012,423,$6.99,1.22K,353
Hitman: Absolution,Io-Interactive A/S,11/19/2012,304,$19.99,41.52K,3.54K
Scribblenauts Unlimited,Warner Bros. Interactive Entertainment,11/19/2012,215,$19.99,10.24K,688
Sonic Adventure 2,SEGA,11/19/2012,72,$9.99,16.41K,2.2K
Little Inferno,Tomorrow Corporation,11/19/2012,273,$14.99,10.95K,611
PlanetSide 2,Daybreak Game Company,11/20/2012,85,$0,57.84K,13.26K
Assassin’s Creed III,Ubisoft,11/20/2012,1578,$0,10.41K,3.62K
LEGO The Lord of the Rings,Warner Bros. Interactive Entertainment,11/27/2012,168,$19.99,11K,1.21K
Super Hexagon,Terry Cavanagh,11/27/2012,131,$2.99,23.3K,765
Far Cry 3,Ubisoft,11/28/2012,747,$19.99,86.48K,9.75K
Tomb Raider I (1996),Crystal Dynamics,11/28/2012,15,$6.99,3.72K,642
Tomb Raider III (1998),Crystal Dynamics,11/28/2012,9,$6.99,1.19K,227
Mabinogi,Nexon America Inc.,12/06/2012,61,$0,2.72K,963
Legacy of Kain: Soul Reaver 2,Crystal Dynamics,12/06/2012,100,$6.99,616,312
EverQuest,Daybreak Game Company,12/13/2012,32,$0,1.62K,408
Dragon Nest,Eyedentity Games Inc.,12/18/2012,851,$0,1.65K,624
Baldur's Gate: Enhanced Edition,Beamdog,01/16/2013,321,$19.99,13.34K,1.18K
DmC: Devil May Cry,Capcom,01/24/2013,587,$29.99,24.92K,1.77K
Antichamber,Demruth,01/31/2013,117,$19.99,15.49K,799
Sonic & All-Stars Racing Transformed Collection,SEGA,01/31/2013,348,$19.99,15.02K,973
RaceRoom Racing Experience,KW Studios,02/12/2013,26,$0,14.89K,5.2K
Age of Conan: Unchained,Funcom,02/22/2013,86,$0,1.75K,768
Brutal Legend,Double Fine Productions,02/26/2013,288,$14.99,16.71K,1.25K
Star Conflict,Gaijin Distribution KFT,02/27/2013,74,$0,10.7K,3.75K
Tomb Raider,Crystal Dynamics,03/04/2013,339,$14.99,219.61K,8.78K
Euro Truck Simulator,SCS Software,03/08/2013,36,$4.99,5.67K,1.17K
Sniper: Ghost Warrior 2,CI Games,03/11/2013,153,$9.99,12.87K,4.25K
Worms Armageddon,Team17 Digital Ltd,03/19/2013,59,$14.99,8.49K,518
Resident Evil 6,Capcom,03/22/2013,436,$29.99,36.6K,9.47K
Warframe,Digital Extremes,03/25/2013,495,$0,485K,75.24K
BioShock Infinite,2K,03/25/2013,601,$29.99,126.19K,8.25K
Kingdom Wars,,04/01/2013,124,$0,1.85K,888
Cities in Motion 2,Paradox Interactive,04/02/2013,74,$19.99,1.4K,1.03K
Age of Empires II (2013),Xbox Game Studios,04/09/2013,1525,$19.99,94.43K,4.2K
ORION: Prelude,DANKIE,04/16/2013,54,$0.99,21.62K,7.1K
Surgeon Simulator,tinyBuild,04/19/2013,143,$9.99,13.27K,2.85K
Eador. Masters of the Broken World,Snowbird Games,04/19/2013,280,$19.99,1.81K,839
Don't Starve,Klei Entertainment,04/23/2013,246,$9.99,101.5K,3.42K
Monaco: What's Yours Is Mine,Humble Games,04/24/2013,140,$14.99,7.68K,791
Cry of Fear,Team Psykskallar,04/25/2013,47,$0,48.21K,6.84K
Poker Night 2,Telltale Games,04/26/2013,305,$0,6.13K,886
Receiver,Wolfire Games,04/29/2013,33,$4.99,3.26K,812
FEZ,Trapdoor,05/01/2013,58,$9.99,13.2K,1.07K
Ragnarok Online 2,Gravity Interactive,05/01/2013,605,$0,1.82K,1.29K
Far Cry 3 - Blood Dragon,Ubisoft,05/01/2013,163,$14.99,13.93K,1.85K
System Shock 2,Nightdive Studios,05/10/2013,40,$9.99,6.65K,385
Sanctum 2,Coffee Stain Publishing,05/15/2013,146,$14.99,12.62K,1.4K
Reus,Abbey Games,05/16/2013,148,$9.99,4.38K,1.2K
Resident Evil Revelations,Capcom,05/20/2013,519,$29.99,10.61K,1.75K
Call of Juarez: Gunslinger,Techland Publishing,05/22/2013,134,$14.99,33.76K,1.74K
The Incredible Adventures of Van Helsing,NeocoreGames,05/22/2013,208,$14.99,7.77K,1.58K
Dust: An Elysian Tail,Xbox Game Studios,05/24/2013,208,$14.99,17.28K,832
The Swapper,Facepalm Games,05/30/2013,105,$14.99,6.76K,403
Rising Storm Game of the Year Edition,Tripwire Interactive,05/30/2013,0,$19.99,104,1
Gunpoint,Suspicious Developments,06/03/2013,238,$9.99,12.21K,308
Remember Me,Capcom,06/03/2013,240,$29.99,12.52K,2.55K
Trine 2: Complete Story,Frozenbyte,06/06/2013,183,$19.99,20.16K,941
Dungeons & Dragons: Chronicles of Mystara,Capcom,06/18/2013,158,$14.99,1.35K,279
TrackMania² Stadium,Ubisoft,06/20/2013,433,$9.99,5.71K,714
Company of Heroes 2,SEGA,06/25/2013,363,$19.99,82.11K,22.06K
Magic 2014 — Duels of the Planeswalkers,Wizards of the Coast LLC,06/26/2013,866,$0,3.77K,792
Rogue Legacy,Cellar Door Games,06/27/2013,1623,$14.99,16.88K,1.3K
Soldier Front 2,Aeria Games,07/03/2013,42,$0,1.56K,420
FINAL FANTASY VII,Square Enix,07/04/2013,130,$11.99,22.68K,1.71K
Dota 2,Valve,07/09/2013,641,$0,1.76M,382.91K
Teleglitch: Die More Edition,Paradox Interactive,07/24/2013,32,$12.99,2.39K,421
Shadowrun Returns,Paradox Interactive,07/25/2013,429,$14.99,11.46K,1.48K
DCS World Steam Edition,,08/02/2013,40,$0,26.36K,4.12K
"Papers, Please",3909,08/08/2013,244,$9.99,63.23K,1.84K
Spelunky,Mossmouth,08/08/2013,184,$14.99,14.49K,1.24K
Guacamelee! Gold Edition,DrinkBox Studios,08/08/2013,117,$14.99,5.45K,395
Hammerwatch,Crackshell,08/12/2013,139,$9.99,5.69K,658
PAYDAY 2,Starbreeze Publishing AB,08/13/2013,713,$9.99,577.53K,68.06K
Europa Universalis IV,Paradox Interactive,08/13/2013,2493,$39.99,106.36K,15.75K
War Thunder,Gaijin Distribution KFT,08/15/2013,408,$0,353.04K,227.01K
Gone Home,Fullbright,08/15/2013,113,$14.99,13.31K,4.01K
Worms Clan Wars,Team17 Digital Ltd,08/15/2013,182,$24.99,2.39K,649
Saints Row IV: Re-Elected,Deep Silver,08/19/2013,569,$19.99,67.63K,8.94K
The Bureau: XCOM Declassified,2K,08/19/2013,166,$49.98,8.04K,3.43K
Tom Clancy’s Splinter Cell Blacklist,Ubisoft,08/20/2013,260,$29.99,14.84K,3.33K
Skullgirls 2nd Encore,Autumn Games,08/22/2013,188,$24.99,28.12K,10.84K
Castlevania: Lords of Shadow – Ultimate Edition,KONAMI,08/27/2013,116,$29.99,6.49K,1.56K
Game Dev Tycoon,Greenheart Games 💚,08/29/2013,453,$9.99,34.13K,1.66K
Total War: ROME II - Emperor Edition,SEGA,09/02/2013,3056,$59.99,66.78K,14.38K
Brothers - A Tale of Two Sons,505 Games,09/03/2013,213,$14.99,38.08K,2.22K
Rayman Legends,Ubisoft,09/03/2013,1357,$29.99,6.78K,759
Outlast,Red Barrels,09/04/2013,179,$19.99,105.35K,3.9K
Rise of Flight United,1С-777 Limited,09/05/2013,45,$0,1.32K,1.06K
Amnesia: A Machine for Pigs,Frictional Games,09/10/2013,101,$19.99,7.23K,3.18K
Arma 3,Bohemia Interactive,09/12/2013,951,$29.99,233.49K,24.55K
THE KING OF FIGHTERS XIII STEAM EDITION,SNK CORPORATION,09/13/2013,247,$34.99,8.73K,910
Portal 2 Sixense Perceptual Pack,Sixense,09/20/2013,3,$0,293,233
Alien Rage - Unlimited,CI Games,09/24/2013,18,$19.99,2.25K,1.05K
Shadow Warrior,Devolver Digital,09/26/2013,166,$29.99,23.32K,1.94K
KnightShift,Topware Interactive,09/27/2013,296,$6.99,831,403
Enclave,Topware Interactive,10/04/2013,240,$5.99,4.94K,1.3K
Jack Orlando: Director's Cut,Topware Interactive,10/04/2013,264,$4.99,417,196
"Cook, Serve, Delicious!",Vertigo Gaming Inc.,10/08/2013,341,$9.99,5.14K,297
The Wolf Among Us,Telltale,10/11/2013,519,$14.99,31.2K,706
Viscera Cleanup Detail: Shadow Warrior,Devolver Digital,10/11/2013,48,$29.99,3.29K,811
Knights and Merchants,Topware Interactive,10/14/2013,238,$6.99,3.68K,686
Megabyte Punch,Team Reptile,10/15/2013,2645,$14.99,966,117
The Stanley Parable,Galactic Cafe,10/17/2013,181,$14.99,40.58K,3.32K
"I Have No Mouth, and I Must Scream",Nightdive Studios,10/17/2013,76,$5.99,1.44K,183
Goodbye Deponia,Daedalic Entertainment,10/17/2013,788,$19.99,1.93K,241
Stronghold HD (2012),FireFly Studios,10/21/2013,232,$5.99,8.59K,403
Stronghold Crusader HD,FireFly Studios,10/21/2013,277,$9.99,16.55K,409
LEGO Marvel Super Heroes,Warner Bros. Interactive Entertainment,10/22/2013,536,$19.99,20.37K,1.09K
Rocksmith 2014 Edition - Remastered,Ubisoft,10/22/2013,890,$9.99,19.96K,2.17K
Path of Exile,Grinding Gear Games,10/23/2013,243,$0,189.34K,24.07K
Batman: Arkham Origins,Warner Bros. Interactive Entertainment,10/24/2013,393,$19.99,41.47K,5.35K
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,BANDAI NAMCO Entertainment,10/24/2013,636,$19.99,11.66K,1.33K
ENSLAVED: Odyssey to the West Premium Edition,BANDAI NAMCO Entertainment,10/24/2013,299,$19.99,5.81K,981
Deus Ex: Human Revolution - Director's Cut,Eidos Interactive Corp.,10/25/2013,666,$19.99,24.24K,2.06K
Contagion,"Monochrome, Inc",10/25/2013,199,$9.99,10.91K,4.09K
Slender: The Arrival,Blue Isle Publishing,10/28/2013,86,$19.99,7.56K,1.03K
No More Room in Hell,Lever Games,10/31/2013,54,$0,62.68K,7.04K
Ragnarok Online,Gravity Interactive,10/31/2013,177,$0,1.51K,565
Pinball Arcade,FarSight Studios,11/04/2013,164,$0,2.87K,1.04K
State of Decay,Xbox Game Studios,11/05/2013,765,$0,14.87K,2.73K
King Arthur's Gold,Transhuman Design,11/05/2013,138,$0,4.3K,800
Sid Meier’s Ace Patrol: Pacific Skies,2K,11/05/2013,139,$4.99,253,157
Project Zomboid,The Indie Stone,11/08/2013,520,$19.99,243.96K,15.35K
Risk of Rain (2013),Gearbox Publishing,11/08/2013,245,$9.99,27.46K,1.9K
Injustice: Gods Among Us Ultimate Edition,Warner Bros. Interactive Entertainment,11/12/2013,114,$19.99,15.84K,2.59K
Baldur's Gate II: Enhanced Edition,Beamdog,11/15/2013,137,$19.99,8.1K,720
X Rebirth,Egosoft,11/15/2013,121,$29.99,3.14K,4.11K
Bloody Trapland,2Play,11/18/2013,197,$4.99,3.22K,715
Panzar,OVALIS INVESTMENTS LIMITED,11/25/2013,95,$0,3.34K,1.74K
Neverwinter,Gearbox Publishing,12/05/2013,253,$0,28.72K,8.35K
MARVEL Puzzle Quest,505 Go Inc,12/05/2013,300,$0,2.97K,1.27K
FINAL FANTASY VIII,Square Enix,12/05/2013,664,$11.99,7.61K,986
SteamWorld Dig,Image & Form Games,12/05/2013,109,$9.99,6.5K,428
Race The Sun,Flippfly LLC,12/09/2013,157,$9.99,5.87K,397
OMSI 2: Steam Edition,Aerosoft GmbH,12/11/2013,5260,$29.99,9.35K,1.67K
7 Days to Die,The Fun Pimps Entertainment LLC,12/13/2013,882,$24.99,258.35K,33.88K
Viscera Cleanup Detail: Santa's Rampage,RuneStorm,12/13/2013,137,$2.49,5.03K,479
Just Cause 2: Multiplayer Mod,Square Enix,12/16/2013,106,$0,13.78K,1.26K
The Walking Dead: Season Two,Skybound Games,12/17/2013,677,$14.99,27.8K,1.06K
Grimm,Spicyhorse Games,01/06/2014,272,$0,30.59K,911
Kingdom Rush  - Tower Defense,Ironhide Game Studio,01/06/2014,556,$9.99,11.9K,336
METAL GEAR RISING: REVENGEANCE,KONAMI,01/09/2014,438,$29.99,68.26K,2.89K
Nidhogg,Messhof,01/13/2014,72,$9.99,6.7K,778
The Banner Saga,Stoic Studio,01/14/2014,185,$24.99,13.34K,1.65K
Hitman: Contracts,Io-Interactive A/S,01/21/2014,249,$8.99,2.18K,324
Insurgency,New World Interactive,01/22/2014,172,$14.99,114.5K,10.25K
Blackguards,Daedalic Entertainment,01/22/2014,262,$9.99,2.24K,1.37K
Car Mechanic Simulator 2014,PlayWay S.A.,01/24/2014,85,$6.99,4.15K,849
Broken Age,Double Fine Productions,01/28/2014,82,$14.99,6.47K,1.27K
Hero Siege,Panic Art Studios Ltd.,01/29/2014,1176,$7.99,27.56K,11.42K
Serena,Senscape,01/30/2014,5,$0,4.89K,1.45K
Octodad: Dadliest Catch,Young Horses,01/30/2014,132,$14.99,8.78K,595
Loadout,Edge of Reality,01/31/2014,145,$0,34.41K,5.18K
CastleMiner Z,DigitalDNA Games LLC,02/03/2014,194,$5.99,8.18K,2.04K
METAL SLUG 3,SNK CORPORATION,02/14/2014,116,$7.99,7.11K,823
The Plan,Krillbite Studio,02/14/2014,9,$0,20.79K,1.74K
FINAL FANTASY XIV Online,Square Enix,02/18/2014,114219,$19.99,62.3K,8.14K
Banished,Shining Rock Software LLC,02/18/2014,716,$19.99,36.64K,3.95K
STRIDER / ストライダー飛竜,Capcom,02/19/2014,43,$14.99,3K,638
Talisman: Digital Edition,Nomad Games,02/25/2014,918,$6.99,6.87K,1.85K
Resident Evil 4 (2005),Capcom,02/27/2014,134,$19.99,64.23K,4.87K
Thief,Eidos Interactive Corp.,02/27/2014,397,$19.99,16.45K,5.73K
One Way Heroics,PLAYISM,02/28/2014,359,$3.49,3.73K,230
South Park: The Stick of Truth,Ubisoft,03/03/2014,679,$29.99,57.46K,1.39K
One Finger Death Punch,Silver Dollar Games,03/03/2014,326,$4.99,15.85K,322
Dark Shadows - Army of Evil,Volens Nolens Games,03/11/2014,231,$4.99,94,197
Dragons and Titans,Versus Evil	,03/12/2014,89,$0,2.69K,739
Braveland,Tortuga Team,03/17/2014,259,$7.99,2.46K,548
Deus Ex: The Fall,Eidos Interactive Corp.,03/17/2014,128,$9.99,1.5K,2.73K
Call of Duty: Ghosts,Activision,03/25/2014,461,$59.99,18.65K,10.93K
Age of Wonders III,Paradox Interactive,03/31/2014,201,$29.99,9.75K,2.37K
Prime World,Nival,03/31/2014,235,$0,2.22K,1.59K
Goat Simulator,Coffee Stain Publishing,04/01/2014,133,$9.99,58.64K,6.2K
Halo: Spartan Assault,Xbox Game Studios,04/04/2014,218,$2.99,3.51K,949
LEGO The Hobbit,Warner Bros. Interactive Entertainment,04/08/2014,149,$19.99,7.16K,1.7K
Wargame: Red Dragon,Eugen Systems,04/17/2014,460,$29.99,15.88K,1.91K
Villagers and Heroes,Mad Otter Games,04/17/2014,25,$0,1.97K,1.29K
Pixel Puzzles: Japan,Pixel Puzzles,04/17/2014,362,$0,2.1K,480
Overcast - Walden and the Werewolf,SA Industry,04/18/2014,238,$4.99,1.74K,1.12K
Street Racing Syndicate,Funbox Media Ltd,04/24/2014,237,$2.99,3.14K,590
ArcheBlade,Codebrush Games,04/25/2014,71,$0,5.63K,2.06K
DARK SOULS II,BANDAI NAMCO Entertainment,04/25/2014,4731,$39.99,37.17K,4.72K
Child of Light,Ubisoft,04/29/2014,340,$14.99,11.81K,1K
GunZ 2: The Second Duel,"Masangsoft, Inc.",05/01/2014,106,$0,7.03K,3.59K
"Sir, You Are Being Hunted",Big Robot Ltd,05/02/2014,116,$19.99,2.99K,855
The Desolate Hope,Scott Cawthon,05/05/2014,176,$0,1.28K,121
Age of Mythology: Extended Edition,Xbox Game Studios,05/08/2014,404,$29.99,29.35K,2.29K
Fistful of Frags,Fistful of Frags Team,05/09/2014,140,$0,32.17K,3.02K
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,"KOEI TECMO GAMES CO., LTD.",05/13/2014,664,$49.99,10.3K,1.92K
BattleBlock Theater,The Behemoth,05/15/2014,234,$14.99,67.31K,1.9K
Men of War: Assault Squad 2,Fulqrum Publishing,05/15/2014,1568,$29.99,36.76K,3.57K
Fearless Fantasy,tinyBuild,05/15/2014,90,$6.99,811,265
Toribash,"Nicalis, Inc.",05/16/2014,67,$0,14.33K,1.84K
RADical ROACH Remastered,DL Softworks,05/16/2014,363,$0,581,492
100% Orange Juice,Fruitbat Factory,05/16/2014,237,$6.99,23.05K,1.82K
Wolfenstein: The New Order,Bethesda Softworks,05/19/2014,1224,$19.99,46.43K,4.49K
Transistor,Supergiant Games,05/20/2014,143,$19.99,27.99K,1.71K
World of Guns: Gun Disassembly,Noble Empire Corp.,05/21/2014,39,$0,15.44K,2.93K
RollerCoaster Tycoon: Deluxe,Atari,05/21/2014,322,$5.99,6.44K,366
RollerCoaster Tycoon 2: Triple Thrill Pack,Atari,05/21/2014,66,$9.99,4.3K,521
Q.U.B.E: Director's Cut,Toxic Games,05/21/2014,34,$9.99,1.51K,308
Turbo Dismount,Secret Exit Ltd.,05/21/2014,249,$9.99,4.99K,358
Killer is Dead - Nightmare Edition,Deep Silver,05/23/2014,137,$19.99,6.08K,1.98K
Tropico 5,Kalypso Media Digital,05/23/2014,421,$19.99,10.78K,2.94K
Watch_Dogs,Ubisoft,05/26/2014,831,$29.99,28.82K,9.22K
ibb & obb,Sparpweed,05/26/2014,207,$11.99,5.65K,578
Final Fantasy III (3D Remake),Square Enix,05/27/2014,270,$15.99,2.46K,521
A Story About My Uncle,Coffee Stain Publishing,05/28/2014,221,$14.99,26.16K,2.35K
theHunter Classic,Expansive Worlds,06/03/2014,41,$0,22.97K,17.48K
Murdered: Soul Suspect,Square Enix,06/03/2014,229,$19.99,13.42K,2.29K
Defiance,Trion Worlds,06/04/2014,176,$0,9.67K,2.99K
Dead Bits,SA Industry,06/07/2014,365,$4.99,4.98K,3.45K
Magicite,SmashGames,06/09/2014,554,$9.99,6.43K,1.12K
Rise of Nations: Extended Edition,Xbox Game Studios,06/12/2014,729,$19.99,12.41K,721
The Incredible Adventures of Van Helsing II,NeocoreGames,06/13/2014,537,$14.99,1.65K,746
Xenonauts,Goldhawk Interactive,06/16/2014,999,$24.99,4.03K,562
COH 2 - The Western Front Armies: US Forces,SEGA,06/23/2014,0,$12.99,290,93
GRID Autosport,Codemasters,06/26/2014,212,$0,6.69K,1.9K
Shovel Knight: Treasure Trove,Yacht Club Games,06/26/2014,327,$39.99,14.66K,609
Sniper Elite 3,Rebellion,06/27/2014,291,$29.99,20.85K,4.5K
Divinity: Original Sin (Classic),Larian Studios,06/30/2014,285,$39.99,10.72K,966
Warface,MY.GAMES,07/01/2014,100,$0,55.2K,27.23K
Elsword,KOG Games,07/02/2014,52,$0,6.93K,2.39K
Aeon Command,"Bat Country Games, LLC",07/03/2014,0,$2.99,317,89
Deponia: The Complete Journey,Daedalic Entertainment,07/08/2014,248,$29.99,5.38K,821
Sunrider: Mask of Arcadius,Sekai Project,07/09/2014,865,$0,2.56K,204
EVGA Precision X1,EVGA,07/16/2014,495,$0,3.62K,917
Of Guards And Thieves,Subvert Games,07/16/2014,100,$0,3.67K,634
Data Hacker: Initiation,New Reality Games,07/21/2014,319,$1.99,157,86
Velvet Sundown,Tribe Studios,07/22/2014,39,$0,1.07K,718
Murder Miners,JForce Games,07/25/2014,136,$2.99,5.37K,853
Only If,Creability,07/25/2014,15,$0,3.73K,2.22K
UnEpic,@unepic_fran,07/25/2014,824,$12.99,7.12K,647
The Room,Fireproof Games,07/28/2014,188,$4.99,24.88K,557
Mount Your Friends,Stegersaurus Software Inc.,07/29/2014,98,$4.99,7.34K,359
Guns and Robots,Masthead Studios Ltd,08/04/2014,23,$0,1.11K,581
The Expendabros,Devolver Digital,08/05/2014,62,$0,17.48K,498
Back to Bed,Bedtime Digital Games,08/06/2014,173,$5.99,2.19K,502
Royal Quest,1C Online Games,08/06/2014,83,$0,957,404
Battle Islands,505 Games,08/06/2014,138,$0,2.59K,817
Ultra Street Fighter IV,Capcom,08/07/2014,273,$29.99,12.53K,1.39K
Risen 3 - Titan Lords,THQ Nordic,08/12/2014,516,$14.99,4.27K,1.47K
Cubic Castles,Cosmic Cow LLC,08/13/2014,37,$0,3.14K,1.12K
Morphopolis,Dan  Walters,08/14/2014,118,$3.99,4K,795
Mountain,David OReilly,08/18/2014,139,$0.99,14.26K,1.88K
Five Nights at Freddy's,Scott Cawthon,08/19/2014,90,$4.99,42.55K,3.12K
Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,08/21/2014,90,$14.99,5.89K,479
Metro 2033 Redux,Deep Silver,08/25/2014,352,$19.99,70.23K,8.14K
Metro: Last Light Redux,Deep Silver,08/25/2014,494,$19.99,54.5K,6.23K
Lethal League,Team Reptile,08/27/2014,189,$13.99,5.69K,354
How to Survive,505 Games,08/29/2014,128,$14.99,13.96K,2.93K
Anarchy Arcade,Elijah Newman-Gomez,09/03/2014,14,$0,1.53K,695
Dead Rising 3 Apocalypse Edition,Capcom,09/05/2014,500,$29.99,12.78K,4.1K
Infinity Wars: Animated Trading Card Game,Lightmare Studios,09/05/2014,268,$0,2.67K,774
Fable Anniversary,Xbox Game Studios,09/12/2014,633,$34.99,10.76K,1.88K
NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,BANDAI NAMCO Entertainment,09/15/2014,666,$29.99,6.86K,1.28K
My Lands: Black Gem Hunting,ELYLAND  INVESTMENT COMPANY Ltd,09/16/2014,355,$0,2.76K,522
Quake Live,Bethesda Softworks,09/17/2014,47,$9.99,12.84K,2.05K
WAKFU,Ankama Games,09/18/2014,352,$0,7.23K,2.42K
ENDLESS Legend,SEGA,09/18/2014,589,$29.99,14.43K,2.72K
Wasteland 2: Director's Cut,inXile Entertainment,09/18/2014,649,$29.99,6.59K,1.4K
Shadowrun: Dragonfall - Director's Cut,Paradox Interactive,09/18/2014,587,$14.99,5.39K,613
Wasteland 2: Director's Cut,inXile Entertainment,09/18/2014,595,$29.99,0,0
Stronghold Crusader 2,FireFly Studios,09/22/2014,361,$39.99,10.99K,4.44K
Gauntlet Slayer Edition,WB Games,09/23/2014,288,$19.99,7.46K,1.71K
The Vanishing of Ethan Carter,The Astronauts,09/25/2014,184,$19.99,7.65K,999
Starpoint Gemini 2,Little Green Men Games,09/26/2014,235,$34.99,2.82K,1.23K
Outland,Housemarque,09/29/2014,126,$9.99,3.15K,749
